                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.35786,                0.38441,                0.85305,                 0.9988,                      1,                  0.995,                0.94467,                 0.3393,                0.38231,                0.81695,              0.0012872,              0.0012872,              0.0012872
                     38,                0.36666,                0.39936,                0.85066,                0.99899,                      1,                  0.995,                0.93731,                0.33906,                0.37574,                 0.8181,              0.0012674,              0.0012674,              0.0012674
                     39,                 0.3563,                0.37603,                0.83958,                0.99935,                      1,                  0.995,                0.95936,                0.30621,                0.35319,                0.80785,              0.0012476,              0.0012476,              0.0012476
                     40,                0.35867,                0.36861,                0.85498,                0.99934,                      1,                  0.995,                0.95829,                0.31612,                0.35302,                0.80456,              0.0012278,              0.0012278,              0.0012278
                     41,                0.35154,                0.36171,                0.84469,                0.99972,                      1,                  0.995,                0.95261,                0.32795,                0.34337,                0.80387,               0.001208,               0.001208,               0.001208
                     42,                0.35725,                0.37951,                0.85909,                0.99938,                      1,                  0.995,                0.96039,                0.28665,                0.32206,                 0.7965,              0.0011882,              0.0011882,              0.0011882
                     43,                0.33905,                  0.345,                0.82601,                0.99926,                      1,                  0.995,                 0.9694,                0.26532,                0.29182,                0.79257,              0.0011684,              0.0011684,              0.0011684
                     44,                0.33939,                0.34551,                0.84779,                0.99975,                      1,                  0.995,                0.97151,                0.27635,                0.28663,                0.79645,              0.0011486,              0.0011486,              0.0011486
                     45,                0.32599,                0.33741,                0.82532,                 0.9997,                      1,                  0.995,                0.96905,                0.27994,                0.29529,                0.79404,              0.0011288,              0.0011288,              0.0011288
                     46,                0.33503,                0.34384,                0.84064,                0.99956,                      1,                  0.995,                0.96601,                0.27025,                0.28154,                0.79203,               0.001109,               0.001109,               0.001109
                     47,                0.35094,                 0.3468,                0.86118,                0.99954,                      1,                  0.995,                0.97456,                0.26959,                0.28699,                0.79145,              0.0010892,              0.0010892,              0.0010892
                     48,                 0.3469,                0.34506,                0.85407,                 0.9994,                      1,                  0.995,                0.95879,                0.28102,                 0.2977,                0.79813,              0.0010694,              0.0010694,              0.0010694
                     49,                0.33499,                0.33694,                0.85788,                0.99958,                      1,                  0.995,                 0.9549,                 0.3086,                0.30405,                0.80659,              0.0010496,              0.0010496,              0.0010496
                     50,                0.31888,                0.32505,                0.84172,                0.99958,                      1,                  0.995,                0.96386,                0.28748,                0.29392,                0.79926,              0.0010298,              0.0010298,              0.0010298
                     51,                0.35547,                0.34108,                0.86545,                0.99917,                      1,                  0.995,                 0.9709,                0.29286,                0.28516,                0.79887,                0.00101,                0.00101,                0.00101
